"nm0000001","Fred Astaire"
"nm0006403","David R. Barkley"
"nm0006405","Dmitriy Zaytsev"
"nm0006406","Richard Halpern"
"nm0006407","Fred Nicolas"
"nm0006408","John J. Campbell"
"nm0006410","Jason Allentoff"
"nm0006411","Ran Barker"
"nm0006412","Ashley Moore"
"nm0006415","Lloyd Freidus"
"nm0006418","Peter Alderliesten"
"nm0006419","Claudette Mink"
"nm0006420","Gabriel David Tick"
"nm0006422","Laird Stuart"
"nm0006423","Bernard Bats"
"nm0006426","Bill Haley"
"nm0006428","Arlene Dahl"
"nm0006429","Girija"
"nm0006430","Girija Shettar"
"nm0006431","Nicholas Worth"
"nm0006432","Christopher Walling"
"nm0006433","Karisma Kapoor"
"nm0006436","Dean Gates"
"nm0006437","Justin Rice"
"nm0006438","George Saunders"
"nm0006439","Erin Daniels"
"nm0006440","Michael Doven"
"nm0006441","Dick Warlock"
"nm0006442","Richard Robbins"
"nm0006444","Patrice Lucien Cochet"
"nm0006445","Éric Rohmer"
"nm0006446","Colleen Werthmann"
"nm0006448","Gaurav Seth"
"nm0006449","Keith Solomon"
"nm0006450","Jason Sutton"
"nm0006452","Stanley Kramer"
"nm0006454","Melanie Cassidy"
"nm0006456","Joe Mulherin"
"nm0006459","Scot Beidelman"
"nm0006460","Karen S. Spiegel"
"nm0006461","Allen E. Taylor"
"nm0006462","Henry M. Lebo"
"nm0006463","Jason Kravits"
"nm0006465","Marilyn Vance"
"nm0006467","Vittorio Amandola"
"nm0006468","Kim Davis"
"nm0006470","Stephen Treadway"
"nm0006471","Elsa Lanchester"
"nm0006473","Daniella Evangelista"
"nm0006474","Howlin' Wolf"
"nm0006476","Paul McGuigan"
"nm0006480","Madison Clark"
"nm0006482","Tod Griffin"
"nm0006483","Eric J. Goldstein"
"nm0006486","Jeff Sherman"
"nm0006487","Jim Sheridan"
"nm0006488","Brian Palermo"
"nm0006489","Nikolai Rybnikov"
"nm0006490","Nikolai Rybnikov"
"nm0006491","Boris Tokarev"
"nm0006493","William Brookfield"
"nm0006495","Logan Breit"
"nm0006497","Ellis Dungan"
"nm0006498","Majid Majidi"
"nm0006504","Peter W. Schmitt"
"nm0006506","Steve Adcock"
"nm0006507","Bruce Marchfelder"
"nm0006508","Tony Kenny"
"nm0006509","Rodrigo Prieto"
"nm0006510","Alan Brewer"
"nm0006511","David LeReaney"
"nm0006512","Steven Katz"
"nm0006514","Jeroen de Bruin"
"nm0006515","Federico Bruno"
"nm0006516","Chris Terrio"
"nm0006518","Darin Ferriola"
"nm0006522","Haydn Gwynne"
"nm0006529","Virginia Saenz McCarthy"
"nm0006531","Alicia Rivera Frankl"
"nm0006534","Phil Hay"
"nm0006535","Doug Hutchison"
"nm0006537","Anatoli Chemodurov"
"nm0006538","Adam Lima"
"nm0006540","Michael D. Margulies"
"nm0006542","Pons Maar"
"nm0006543","Ian Dodd"
"nm0006544","Ian Ellis"
"nm0006545","J.J. Holiday"
"nm0006547","Sean Milliken"
"nm0006549","Renato Falcão"
"nm0006551","Glen Tedham"
"nm0006552","Perry Husman"
"nm0006554","Rodrigo García"
"nm0006556","Dietrich Siegl"
"nm0006558","David Fuhrer"
"nm0006559","Norman Parker"
"nm0006560","Sarah Levy"
"nm0006561","Velton Ray Bunch"
"nm0006562","Asia Carrera"
"nm0006563","Iggy Pop"
"nm0006564","Víctor Albarrán"
"nm0006566","Eberhard Wächter"
"nm0006568","Maria Callas"
"nm0006570","Russell Boyd"
"nm0006571","Ian Dodd"
"nm0006572","Somtow Sucharitkul"
"nm0006573","Philippe Leroy"
"nm0006574","Ed Vassallo"
"nm0006575","Steven Schub"
"nm0006576","Tony Ciccone"
"nm0006577","Rick Hall"
"nm0006578","Bill Ryan"
"nm0006582","Alessandro Pesci"
"nm0006583","Inigo Gallo"
"nm0006584","Kevin C. Murray"
"nm0006585","Erik Shapiro"
"nm0006589","Anthony Stabley"
"nm0006590","Georgi Djulgerov"
"nm0006591","Jill Gurr"
"nm0006592","Trudi Callon"
"nm0006593","Diane Cornell"
"nm0006595","Liz DiFiore"
"nm0006596","Shelley Malil"
"nm0006597","John Penotti"
"nm0006598","Uli Kudicke"
"nm0006599","Wonsuk Chin"
"nm0006600","Thomas A. Walsh"
"nm0006601","Bobby Muzingo"
"nm0006602","Jonathan Chiti"
"nm0006603","Anthony Lucero"
"nm0006604","Ruben Pla"
"nm0006607","Cort McCown"
"nm0006610","Donal Logue"
"nm0006611","Philipp Clarin"
"nm0006612","Giancarlo Magalli"
"nm0006613","Don Murphy"
"nm0006614","Dana Altman"
"nm0006615","Mauro Bolognini"
"nm0006617","Soraya Sala"
"nm0006618","Torben Liebrecht"
"nm0006620","Jean-Pierre Mocky"
"nm0006621","Jean-Charles Tacchella"
"nm0006622","Ron Wechsler"
"nm0006623","Steven Michaels"
"nm0006624","Bill Anderson"
"nm0006625","Steve Barron"
"nm0006626","John H. Brister"
"nm0006631","Anthony Foutz"
"nm0006633","Tom Houghton"
"nm0006634","Hassan Ildari"
"nm0006636","Amy Jackson"
"nm0006637","Noah Kadner"
"nm0006638","Laura Palmer"
"nm0006639","Jeff Lieberman"
"nm0006640","Derek Lister"
"nm0006641","Joubin Mortazavi"
"nm0006642","Nancy Paloian"
"nm0006644","Scott D. Rosenbaum"
"nm0006646","Reto Salimbeni"
"nm0006648","Arielle Tepper Madover"
"nm0006650","Jason Wood"
"nm0006651","Steve Morphew"
"nm0006652","Sonya 'Sonny' Tormoen"
"nm0006653","Jonathon Braun"
"nm0006657","Pedro Chaskel"
"nm0006658","Charles Wilkinson"
"nm0006659","Khalid Mohamed"
"nm0006661","Richard Bellis"
"nm0006662","Jim Killeen"
"nm0006663","Enrique Murciano"
"nm0006664","Zdenek Sverák"
"nm0006669","William Sadler"
"nm0006670","Paul F. Tompkins"
"nm0006675","Jocelyn M. Ajami"
"nm0006676","Aditya Chandora"
"nm0006678","Amber Phillips"
"nm0006679","Allen Maris"
"nm0006680","Wendy Braff"
"nm0006683","Vince Jolivette"
"nm0006684","Chip Joslin"
"nm0006685","Gerry Lively"
"nm0006687","Jim Vickers"
"nm0006689","Preity Zinta"
"nm0006690","Giacomo Battiato"
"nm0006691","Damon Collazo"
"nm0006692","Rachael Crawford"
"nm0006694","Christian Grosselfinger"
"nm0006697","Luiz Bonfá"
"nm0006698","David Mackay"
"nm0006701","John Schwartzman"
"nm0006702","Ana Belén"
"nm0006703","Zeki Ökten"
"nm0006705","Andrew Moreau"
"nm0006706","Paul van den Boom"
"nm0006707","Pivio"
"nm0006709","Terence Michael"
"nm0006710","Vik Sahay"
"nm0006712","Crispian Belfrage"
"nm0006713","Rachael Harris"
"nm0006714","Rachel Lee Harris"
"nm0006715","Mukesh"
"nm0006716","Seth Walther"
"nm0006717","Jochen Kunstler"
"nm0006718","David Fine"
"nm0006719","Cat Stone"
"nm0006720","Monique Edwards"
"nm0006721","Susan May Pratt"
"nm0006723","Daniel Boyd"
"nm0006724","Hazel Adair"
"nm0006729","Pip Karmel"
"nm0006730","Scott K. Wallace"
"nm0006732","Nancy Deren"
"nm0006733","Catalaine Knell"
"nm0006734","Alain Corneau"
"nm0006735","Robert Kravitz"
"nm0006736","Charlie McNamara"
"nm0006737","Hark Bohm"
"nm0006738","Lea Bohm"
"nm0006739","Marquard Bohm"
"nm0006740","Uwe Bohm"
"nm0006741","Marie Déa"
"nm0006742","Helen Vita"
"nm0006744","Ann E. Holbrook"
"nm0006745","João Mário Grilo"
"nm0006748","Izabela Frank"
"nm0006749","Andreas Herzog"
"nm0006750","Larry Kaster"
"nm0006751","Nuno Tudela"
"nm0006752","Steve Allen"
"nm0006757","Thomas Oláh"
"nm0006759","James Scura"
"nm0006761","Paul J. Smith"
"nm0006762","Saeed Jaffrey"
"nm0006763","Jackie Shroff"
"nm0006764","Sonali Kulkarni"
"nm0006765","Vidhu Vinod Chopra"
"nm0006766","Deepak Verma"
"nm0006767","Narayana Rao C.H."
"nm0006768","Rao C.S.R."
"nm0006769","Narasa Raju D.V."
"nm0006770","Narayana P.L."
"nm0006771","Gina Castellano"
"nm0006773","David Westheimer"
"nm0006774","Joshua Sinclair"
"nm0006777","John Axelrad"
"nm0006780","Denis Maloney"
"nm0006781","Harry Baer"
"nm0006782","E.T.A. Hoffmann"
"nm0006784","David Bickford"
"nm0006786","James Quattrochi"
"nm0006787","Sam Irvin"
"nm0006788","Hart Getzen"
"nm0006789","Lauren Bailey"
"nm0006790","Jonathan D. Krane"
"nm0006791","Benjamin Herrmann"
"nm0006792","David de Vos"
"nm0006793","Ronnie Hadar"
"nm0006795","Salman Khan"
"nm0006796","Daryl Bennett"
"nm0006797","Bill Wilson"
"nm0006798","Matthew Harrison"
"nm0006799","Christopher Duddy"
"nm0006800","Sandy Dennis"
"nm0006801","Antoine Monot Jr."
"nm0006803","Ken Sanders"
"nm0006804","Denis Rouden"
"nm0006805","Scott P. Levy"
"nm0006806","Alex Nicholas"
"nm0006807","Michèle Morgan"
"nm0006809","Stephen Tolkin"
"nm0006810","Judith Benezra"
"nm0006811","Michael Finn"
"nm0006813","Darryl Fowler"
"nm0006816","Suzanne Krull"
"nm0006818","Hans Larson"
"nm0006820","Aleks Paunovic"
"nm0006825","Jeffrey Townsend"
"nm0006826","Stacey Travis"
"nm0006830","John J. Kelly"
"nm0006834","Hanno di Rosa"
"nm0006835","John F. Sullivan"
"nm0006837","Bill Melendez"
"nm0006841","Udayan Prasad"
"nm0006842","Julio Alemán"
"nm0006843","Ronnie Kerr"
"nm0006845","Sally Potter"
"nm0006846","Ric Roman Waugh"
"nm0006851","Madeleine Blaustein"
"nm0006852","David Whitaker"
"nm0006853","Tim Hunter"
"nm0006854","Roger Spottiswoode"
"nm0006855","Aldo De Robertis"
"nm0006856","José Luis López-Linares"
"nm0006857","Mariano Nuñez West"
"nm0006858","Pat Tagliaferro"
"nm0006859","Daniel Toland"
"nm0006860","Damian Lee"
"nm0006863","Roger Kupelian"
"nm0006865","Hanno Lentz"
"nm0006867","John Kent Harrison"
"nm0006869","Leslie Ekker"
"nm0006872","Sergio Donati"
"nm0006873","Peter Samuelson"
"nm0006874","Julie Davis"
"nm0006875","Arnon Manor"
"nm0006877","Konrad Sabrautzky"
"nm0006878","Michael B. Silver"
"nm0006879","Renée Gundelach"
"nm0006888","Tom Noonan"
"nm0006889","Herbert Ross"
"nm0006890","Paul Scofield"
"nm0006891","Michaëla Watteaux"
"nm0006893","John Vernon"
"nm0006894","Michael De Luca"
"nm0006895","Manu Kurz"
"nm0006896","Andrew Peterson"
"nm0006898","Paul Hunt"
"nm0006901","Ross Guidici"
"nm0006902","Richard D'Ovidio"
"nm0006903","Michael Catlin"
"nm0006904","Tony Gilroy"
"nm0006905","Christoph Müller"
"nm0006906","Carlos Taibo"
"nm0006910","John Brian King"
"nm0006911","Steve Yedlin"
"nm0006912","Fabio Liberatori"
"nm0006914","Dawn Bennett"
"nm0006916","Michael Ritchie"
"nm0006917","Meg Liberman"
"nm0006918","Christopher Gosch"
"nm0006919","Roger Christiansen"
"nm0006920","Jim van Dijk"
"nm0006922","Ken Eluto"
"nm0006924","Federico Marsicano"
"nm0006929","Thomas Morse"
"nm0006931","J.R. Bookwalter"
"nm0006933","Nadine Muse"
"nm0006934","Sébastien Saadoun"
"nm0006936","James Shavick"
"nm0006938","Leonardo Fasoli"
"nm0006939","Richard Berry"
"nm0006940","Douglas F. O'Neons"
"nm0006941","András Nagy"
"nm0006942","András Nagy"
"nm0006943","Charles Lamont"
"nm0006945","Helmut Berger"
"nm0006947","Denise Pinckley"
"nm0006949","David Abramson"
"nm0006952","Alexia Landeau"
"nm0006954","Pierre Schoendoerffer"
"nm0006955","Lewis Schoenbrun"
"nm0006956","Jesse Vint"
"nm0006958","Jonathan Tucker"
"nm0006959","Dan Ireland"
"nm0006960","John Madden"
"nm0006963","Hugo Heinen"
"nm0006964","Jean Sobieski"
"nm0006967","Jeanne Moutard"
"nm0006969","Elizabeth Banks"
"nm0006970","Patricia Belcher"
"nm0006971","Irene Blecua"
"nm0006973","William Martin Brennan"
"nm0006975","Zane Buzby"
"nm0006978","Susan Damante"
"nm0006979","Jordan Deitcher"
"nm0006981","David Elliott"
"nm0006982","Adoor Bhasi"
"nm0006984","Benjamin Feitelson"
"nm0006986","Mary Feuer"
"nm0006987","Jsu Garcia"
"nm0006988","T.J. Glenn"
"nm0006992","Samuel C. Jephcott"
"nm0006994","Pascal Judelewicz"
"nm0006996","Paul Lazarus"
"nm0006997","Peter M. Lenkov"
"nm0006998","Todd Lewis"
"nm0006999","Trygve Lode"
"nm0007002","Mark Jeffrey Miller"
"nm0007006","Lance Peters"
"nm0007007","Annika Peterson"
"nm0007008","David Petrarca"
"nm0007011","Robert Salerno"
"nm0007012","Twinkle Khanna"
"nm0007013","André Szöts"
"nm0007014","Anne-Dominique Toussaint"
"nm0007015","Andrew Turman"
"nm0007017","Marcus Wall"
"nm0007018","Karimah Westbrook"
"nm0007020","Russell Williams II"
"nm0007023","José Luis López Vázquez"
"nm0007027","Murray Sestak"
"nm0007028","Jeffrey Gurian"
"nm0007029","Trey Callaway"
"nm0007033","Harvey Silver"
"nm0007035","Daf Hobson"
"nm0007037","John Bailey"
"nm0007040","Craig Williams"
"nm0007042","Herbert Lom"
"nm0007044","Nicole Lucas Haimes"
"nm0007045","Scott Wiper"
"nm0007046","Joe di Gennaro"
"nm0007047","Mary Margaret Robinson"
"nm0007048","Christopher Boone"
"nm0007050","Sergei Davidoff"
"nm0007052","Nick Quinn"
"nm0007055","Lawrence Taub"
"nm0007057","Michael A. Jones"
"nm0007061","Leslie Stevens"
"nm0007063","James Anthony Cotton"
"nm0007065","David Blitstein"
"nm0007066","Nanouk Leopold"
"nm0007067","Louis G. Friedman"
"nm0007068","Jorge Simonet"
"nm0007069","Pierre Richard"
"nm0007070","David Peters"
"nm0007071","Dennis Bots"
"nm0007072","Katherine Haber"
"nm0007074","Jonathan Bernstein"
"nm0007075","Jon Bernstein"
"nm0007077","Jamie Brown"
"nm0007079","James Greer"
"nm0007080","Jamie Lauren"
"nm0007081","Jon Shapiro"
"nm0007082","John Stockwell"
"nm0007083","Mario Avila"
"nm0007085","Lynn-Maree Danzey"
"nm0007090","Mark O'Connor"
"nm0007091","Gabe Sachs"
"nm0007093","Michael Wenning"
"nm0007094","Dharma Rao Tapi"
"nm0007095","Tim Stevenson"
"nm0007096","Wendey Stanzler"
"nm0007097","Eric Abrahamson"
"nm0007098","Paul Hubschmid"
"nm0007099","Robert Angst"
"nm0007100","Bruno Bertoli"
"nm0007102","Tabu"
"nm0007103","Mark Brandon"
"nm0007106","Shakti Kapoor"
"nm0007107","Urmila Matondkar"
"nm0007108","Robin Dorian"
"nm0007110","Scott Fivelson"
"nm0007113","Nana Patekar"
"nm0007114","Sonali Bendre"
"nm0007115","Amy Hathaway"
"nm0007116","Kelvin Humenny"
"nm0007117","Lou Israel"
"nm0007122","Stephen Lord"
"nm0007123","Mammootty"
"nm0007124","Suhasini"
"nm0007125","Igor Martinovic"
"nm0007126","Garry McDonald"
"nm0007127","Keith Moon"
"nm0007128","Louis Morneau"
"nm0007129","Trevor Morris"
"nm0007131","Subhash Ghai"
"nm0007133","William Rice"
"nm0007134","Farah Khan"
"nm0007135","Brad Slaight"
"nm0007136","Michael Sloane"
"nm0007137","Laurie Stone"
"nm0007138","Thomas T. Taylor"
"nm0007139","Hark Tsui"
"nm0007140","Stanley Weiser"
"nm0007141","Walter Werzowa"
"nm0007142","William Wesley"
"nm0007143","Ganesh Hegde"
"nm0007144","Santosh Sivan"
"nm0007145","Lee Ranaldo"
"nm0007147","Dev Anand"
"nm0007148","Jochen Retter"
"nm0007149","Martin Müller"
"nm0007151","John Paul Young"
"nm0007152","Gary Calamar"
"nm0007154","Stephen Marcus"
"nm0007155","Lynda Boyd"
"nm0007156","Ortwin Freyermuth"
"nm0007157","Darin Spillman"
"nm0007158","Niels Mueller"
"nm0007161","S.V. Krishna Reddy"
"nm0007162","Hélène Rémy"
"nm0007163","Ilya Salkind"
"nm0007166","Oksana Tymonishina"
"nm0007167","John Ashker"
"nm0007168","José Carreras"
"nm0007169","Scott Ramirez"
"nm0007171","Dan Molina"
"nm0007172","Deverin Karol"
"nm0007173","Rabindranath Tagore"
"nm0007175","Alain Dahan"
"nm0007176","Alain Dahan"
"nm0007177","Patsy Cline"
"nm0007178","Walter Lassally"
"nm0007179","David Stern"
"nm0007180","Lutz Konermann"
"nm0007181","Yash Chopra"
"nm0007182","Alex Cox"
"nm0007183","Ian Richardson"
"nm0007186","Arthur Miller"
"nm0007187","Subba Rao B.A."
"nm0007188","Marco Sanchez"
"nm0007189","Kenneth A. Carlson"
"nm0007190","Jonathan Bar-Giora"
"nm0007193","Richie Keen"
"nm0007194","Chris Johnston"
"nm0007195","William Perkins"
"nm0007196","Jason Taylor"
"nm0007197","Fabiana Udenio"
"nm0007198","Kate Montgomery"
"nm0007201","Wouter Jansen"
"nm0007202","Michael C. Cuddy"
"nm0007204","David Devine"
"nm0007205","Keith Collea"
"nm0007206","Stephen David Brooks"
"nm0007207","Hans Unterkircher"
"nm0007209","Stephen Stept"
"nm0007210","Saul Rubinek"
"nm0007212","Justin Caine Burnett"
"nm0007214","Frank Albertson"
"nm0007215","King Baggot"
"nm0007216","Nancy Carroll"
"nm0007217","Jack Carson"
"nm0007218","Tom Conway"
"nm0007219","Donald Cook"
"nm0007220","Ricardo Cortez"
"nm0007221","Maurice Costello"
"nm0007222","Paul Douglas"
"nm0007223","James Dunn"
"nm0007224","Eleanor Powell"
"nm0007225","Jane Powell"
"nm0007228","Fardeen Khan"
"nm0007229","Hertha Thiele"
"nm0007230","Alan Hines"
"nm0007232","Jack Gwillim"
"nm0007233","Bryce Zabel"
"nm0007234","Wolfgang Preiss"
"nm0007235","Ilaria Borrelli"
"nm0007236","Claude Waringo"
"nm0007237","Leonor Varela"
"nm0007238","Leo Hurwitz"
"nm0007239","Henry Cronjager"
"nm0007248","Tony 'La Chispa'"
"nm0007253","Pollino 'Romero'"
"nm0007255","Maarten 't Hart"
"nm0007256","Hilda 't Seyen"
"nm0007259","Fred 04"
"nm0007261","Angel 11:11"
"nm0007262","Shaggy 2 Dope"
"nm0007263","2 Live Crew"
"nm0007264","La 25c Piste"
"nm0007276","Legaren à Hiller"
"nm0007281","Lady Antoinette"
"nm0007283","Nian A"
"nm0007285","A-Ji"
"nm0007286","A-Man"
"nm0007289","A-Trak"
"nm0007292","Dominique A."
"nm0007295","Shankar Reddy A."
"nm0007297","Raja A.M."
"nm0007299","Giri A.S."
"nm0007301","Subba Rao A.V."
"nm0007305","Andreas Aabel"
"nm0007306","Hauk Aabel"
"nm0007308","Per Aabel"
"nm0007312","Dennis Aaberg"
"nm0007313","Linus Aaberg"
"nm0007314","Linus Aaberg"
"nm0007317","Aage Aaberge"
"nm0007319","Finn Aabye"
"nm0007320","Alex Aach"
"nm0007321","Erik Aadahl"
"nm0007323","Beverly Aadland"
"nm0007327","Erik Aaes"
"nm0007328","Mang Aag"
"nm0007329","Karl Aagaard Østvig Jr."
"nm0007334","Sigfred Aagaard"
"nm0007335","Sven Aagaard"
"nm0007337","Karl Aagard Østvig"
"nm0007339","Audun Aagre"
"nm0007342","Lee Aaker"
"nm0007344","Kim Fupz Aakeson"
"nm0007345","Jeppe Aakjær"
"nm0007349","Steve Aalam"
"nm0007352","Schahla Aalam"
"nm0007353","Aalami"
"nm0007354","Mohamad Reza Aalami"
"nm0007365","Preben Aalholt"
"nm0007366","Jefri Aalmuhammed"
"nm0007367","Rostislav Aalto"
"nm0007375","Petri Aalto"
"nm0007378","Aino Aaltonen"
"nm0007379","Elin Aaltonen"
"nm0007380","Erkki Aaltonen"
"nm0007381","Frans Aaltonen"
"nm0007385","Jouko Aaltonen"
"nm0007388","Leif Aaltonen"
"nm0007389","Maarit Aaltonen"
"nm0007392","Minna Aaltonen"
"nm0007393","Olavi Aaltonen"
"nm0007395","Remu Aaltonen"
"nm0007396","Risto Aaltonen"
"nm0007397","Seppo Aaltonen"
"nm0007398","Toini Aaltonen"
"nm0007399","Veikko Aaltonen"
"nm0007400","Vesa Aaltonen"
"nm0007402","Yrjö Aaltonen"
"nm0007403","Stacy Aam"
"nm0007404","Aamani"
"nm0007406","Angela Aames"
"nm0007411","Marjorie Aamodt"
"nm0007412","Thor Michael Aamodt"
"nm0007413","Mathaleen Aamold"
"nm0007414","Peter Aanensen"
"nm0007418","Aapeli"
"nm0007422","Satyanarayana Aarani"
"nm0007423","Frank J. Aard"
"nm0007432","Andreas Aarflot"
"nm0007439","Douglas Aarniokoski"
"nm0007440","Hilde Aaroe"
"nm0007441","Aash Aaron"
"nm0007458","Hallie Aaron"
"nm0007459","Hank Aaron"
"nm0007461","Jack Aaron"
"nm0007464","Joe Aaron"
"nm0007466","Jonathan Aaron"
"nm0007471","Mark Aaron"
"nm0007473","Matthew Hoffman"
"nm0007477","Paul Aaron"
"nm0007485","Victor Aaron"
"nm0007490","Allan Aarons"
"nm0007491","Bonnie Aarons"
"nm0007493","Jordana Aarons"
"nm0007495","Mark Aarons"
"nm0007497","Michael Aarons"
"nm0007502","Robert Aaronson"
"nm0007503","Darby Aaronson"
"nm0007504","Evan Aaronson"
"nm0007507","Reuben Aaronson"
"nm0007508","Tapio Aarre-Ahtio"
"nm0007512","Bjørn Eivind Aarskog"
"nm0007517","Sjur Aarthun"
"nm0007521","Heikki Aarva"
"nm0007524","Ami Aaröe"
"nm0007525","Sten Aaröe"
"nm0007527","Arne Aas"
"nm0007528","Gunnar Aas"
"nm0007529","Magda Aas"
"nm0007538","Finn Aasen"
"nm0007539","John Aasen"
"nm0007542","Ranveig Aasgaard"
"nm0007545","Aasia"
"nm0007550","Inge Aasted"
"nm0007554","AAV Creative Unit"
"nm0007555","Tõnu Aav"
"nm0007556","Kaarlo Aavajoki"
"nm0007558","Evald Aavik"
"nm0007563","Chantal Aba"
"nm0007564","Dairene Aba"
"nm0007573","Levan Abashidze"
"nm0007574","Diego Abad de Santillán"
"nm0007575","Antonio Abad Ojuel"
"nm0007576","José Abad Zuleta"
"nm0007580","Eileen Abad"
"nm0007581","Encarnita Abad"
"nm0007584","Francisco Abad"
"nm0007588","Manuel Abad"
"nm0007590","María Luisa Abad"
"nm0007592","Mélodie Abad"
"nm0007593","Nati Abad"
"nm0007599","Sol Abad"
"nm0007600","Teresa Abad"
"nm0007601","Teresita Abad"
"nm0007602","Toni Abad"
"nm0007603","Vicky Abad"
"nm0007604","Ángel Abad"
"nm0007606","Baltasar Abadal"
"nm0007607","Ignasi Abadal"
"nm0007609","Pere Abadal"
"nm0007617","Rene Abadeza"
"nm0007618","Abby Abadi"
"nm0007620","Ebrahim Abadi"
"nm0007622","Sou Abadi"
"nm0007624","Regine Abadia"
"nm0007625","A.C. Abadie"
"nm0007630","Aleli Abadilla"
"nm0007631","Aicha Abadir"
"nm0007632","Luis Abadié"
"nm0007634","Aleksandr Abadovsky"
"nm0007637","Temple Abady"
"nm0007638","Jairan Abadzade"
"nm0007639","Djordje Abadzijev"
"nm0007640","Georgi Abadzijev"
"nm0007646","Frank Abagnale Jr."
"nm0007648","George Abagnalo"
"nm0007651","I. Abai"
"nm0007652","Mohamed Abaid"
"nm0007653","Gali Abaydulov"
"nm0007658","Juan Julio de Abajo"
"nm0007659","Askhab Abakarov"
"nm0007662","Miguel Abal"
"nm0007665","Coraje Ábalos"
"nm0007667","Ezequiel Abalos"
"nm0007668","Jing Abalos"
"nm0007669","Jorge Washington Abalos"
"nm0007671","Silvia Abalos"
"nm0007672","Eduard Abalov"
"nm0007673","Envard Abalyan"
"nm0007674","Leopoldo Aban"
"nm0007677","Tatyana Abanina"
"nm0007678","Petronelle Abapataki"
"nm0007683","Judith Abarbanel"
"nm0007684","Sam X. Abarbanel"
"nm0007687","Paulina Abarca-Cantin"
"nm0007691","Aliza Abargil"
"nm0007693","Rabadan Abarkoroff"
"nm0007696","Alfredo Abaroa"
"nm0007698","Boleslaw Abart"
"nm0007699","Christian Abart"
"nm0007704","Consuelo Abascal"
"nm0007706","Margot Abascal"
"nm0007707","Nati Abascal"
"nm0007708","Paul Abascal"
"nm0007709","Ramón Abascal"
"nm0007711","Silvia Abascal"
"nm0007713","Pyotr Abasheyev"
"nm0007714","Devi Abashidze"
"nm0007717","Dodo Abashidze"
"nm0007718","Gocha Abashidze"
"nm0007720","Leila Abashidze"
"nm0007722","Merab Abashidze"
"nm0007723","Tamari Abashidze"
"nm0007729","Sait Faik Abasiyanik"
"nm0007731","Aladdin Abbasov"
"nm0007734","Ali Abassi"
"nm0007738","Mehdi Abassi"
"nm0007740","Lise Abastado"
"nm0007746","Diego Abatantuono"
"nm0007747","Saïdou Abatcha"
"nm0007749","Alessandro Abate"
"nm0007757","Massimo Abate"
"nm0007758","Richard Abate"
"nm0007759","Franca Abategiovanni"
"nm0007760","Dean Abatemarco"
"nm0007761","Frank Abatemarco"
"nm0007762","Tony Abatemarco"
"nm0007763","Joaquín Abati"
"nm0007765","G. Abatino"
"nm0007766","Pepito Abatino"
"nm0007767","Paul Vito Abato"
"nm0007770","Anthony Shaw Abaté"
"nm0007772","Z. Abavin"
"nm0007773","Korhan Abay"
"nm0007775","Leo Abaya"
"nm0007776","Anjanette Abayari"
"nm0007778","Ahmed Abaza"
"nm0007781","Rushdy Abaza"
"nm0007783","Manana Abazadze"
"nm0007785","Refet Abazi"
"nm0007787","Taalai Abazova"
"nm0007792","Marta Abba"
"nm0007796","Axelle Abbadie"
"nm0007798","Claudio Abbado"
"nm0007799","Marcello Abbado"
"nm0007805","Sean Abbananto"
"nm0007806","Abbas"
"nm0007807","Abbas"
"nm0007809","Eduardo Abbas"
"nm0007810","Fida Abbas"
"nm0007811","Gassan Abbas"
"nm0007813","Hector Abbas"
"nm0007814","Hiam Abbass"
"nm0007815","Khwaja Ahmad Abbas"
"nm0007818","Myriam Abbas"
"nm0007821","Shezad Abbas"
"nm0007826","Shukhrat Abbasov"
"nm0007831","Allison Abbate"
"nm0007835","Claudia Abbate"
"nm0007838","Maria Abbate"
"nm0007844","Roberto Abbati"
"nm0007845","Stefano Abbati"
"nm0007846","Lisa Abbatiello"
"nm0007847","Sal Abbatiello"
"nm0007851","Mohamed Abbazi"
"nm0007853","Charles S. Abbe"
"nm0007855","Yutaka Abe"
"nm0007856","James E. Abbe"
"nm0007857","Pierre Abbeloos"
"nm0007863","Manuel Abberra"
"nm0007864","Deb Abberton"
"nm0007865","Mathias Abbes"
"nm0007870","Claire Abbey"
"nm0007872","Edward Abbey"
"nm0007874","Glenn Abbey"
"nm0007877","John Abbey"
"nm0007881","Malcolm Abbey"
"nm0007882","May Abbey"
"nm0007885","Tatiana Abbey"
"nm0007887","Ernest Abbeyquaye"
"nm0007888","Franco Abbina"
"nm0007890","Marlaina Abbie"
"nm0007893","Amanda Abbington"
"nm0007896","David Abbitt"
"nm0007901","Mike Abbo"
"nm0007902","Vito Abbonato"
"nm0007903","Francesco Abbondati"
"nm0007912","John Abbot"
"nm0007914","Lee Abbott"
"nm0007924","Aaron Abbott"
"nm0007925","Abdul Malik Abbott"
"nm0007927","Ezio Marano"
"nm0007930","Andrew Abbott"
"nm0007931","Annie Abbott"
"nm0007932","Antoinette Abbott"
"nm0007937","Blanche Abbott"
"nm0007938","Brian Abbott"
"nm0007939","Brian Abbot"
"nm0007940","Bruce Abbott"
"nm0007941","Bud Abbott"
"nm0007944","Charles Abbott"
"nm0007953","David Abbott"
"nm0007958","Diahnne Abbott"
"nm0007959","Diane Abbott"
"nm0007961","Dorothy Abbott"
"nm0007963","Eleanor Hallowell Abbott"
"nm0007964","Elisabeth Abbott"
"nm0007966","Elliot Abbott"
"nm0007967","Frank Abbott"
